Cod_setor,Entorno_V032,Entorno_V034,Entorno_V036,Entorno_V050,Entorno_V052,Entorno_V054,Entorno_V056,Entorno_V058,Entorno_V060,Entorno_V062,Entorno_V063,Entorno_V064,Entorno_V065,Domicilio_V111,Domicilio_V112,Domicilio_V113,Domicilio_V114,Domicilio_V115,Domicilio_V116,Domicilio_V145,Domicilio_V146,Domicilio_V147,Domicilio_V148
150620305000019,0.7983539094650206,0.08641975308641975,0.09876543209876543,0.8148148148148148,0.08641975308641975,0.09465020576131687,0.037037037037037035,0.0,0.00411522633744856,0.2716049382716049,0.720164609053498,0.00411522633744856,0.00411522633744856,0.008064516129032258,0.004032258064516129,0.5201612903225806,0.028225806451612902,0.3548387096774194,0.004032258064516129,0.0,0.0,0.0,0.0
150620305000020,0.5060975609756098,0.06097560975609756,0.054878048780487805,0.8048780487804879,0.07926829268292683,0.06707317073170732,0.07317073170731707,0.0,0.0,0.2804878048780488,0.6646341463414634,0.024390243902439025,0.024390243902439025,0.0,0.006097560975609756,0.9512195121951219,0.036585365853658534,0.0,0.0,0.0,0.0,0.0,0.0
150620305000021,0.0,0.0,0.0,0.8459214501510574,0.07250755287009064,0.05740181268882175,0.0,0.0,0.0,0.0,0.03927492447129909,0.0,0.797583081570997,0.0030211480362537764,0.7099697885196374,0.08459214501510574,0.1510574018126888,0.0,0.015105740181268883,0.0,0.0,0.0,0.0
150620305000022,0.0,0.0,0.0,0.782608695652174,0.033816425120772944,0.03864734299516908,0.0,0.0,0.0,0.0,0.9420289855072463,0.0,0.04589371980676329,0.0,0.5156626506024097,0.3060240963855422,0.0,0.0,0.07951807228915662,0.0,0.0,0.0,0.0
150620305000023,0.0,0.0,0.0,0.5302013422818792,0.02348993288590604,0.0436241610738255,0.006711409395973154,0.0,0.0,0.0,0.7986577181208053,0.0,0.19798657718120805,0.012861736334405145,0.6816720257234726,0.2057877813504823,0.003215434083601286,0.00964630225080386,0.022508038585209004,0.0,0.0,0.0,0.0
150620305000024,0.0,0.0,0.0,0.14814814814814814,0.004629629629629629,0.007716049382716049,0.013888888888888888,0.0015432098765432098,0.0,0.015432098765432098,0.06635802469135803,0.004629629629629629,0.6558641975308642,0.0,0.31643625192012287,0.4869431643625192,0.10906298003072197,0.0,0.039938556067588324,0.0,0.0,0.0,0.0
150620305000025,0.0,0.0,0.0,0.1834862385321101,0.0,0.08256880733944955,0.0,0.0,0.0,0.0,0.009174311926605505,0.0,0.6055045871559633,0.0,0.33146067415730335,0.16292134831460675,0.02247191011235955,0.0,0.02247191011235955,0.0,0.056179775280898875,0.0,0.0
150620305000026,0.04310344827586207,0.0,0.01293103448275862,0.7758620689655172,0.11206896551724138,0.10344827586206896,0.0,0.0,0.01293103448275862,0.04741379310344827,0.8706896551724138,0.0,0.06896551724137931,0.008620689655172414,0.10344827586206896,0.7887931034482759,0.004310344827586207,0.008620689655172414,0.02586206896551724,0.021551724137931036,0.0,0.0,0.0
150620305000027,0.011337868480725623,0.0,0.0,0.09297052154195011,0.0045351473922902496,0.018140589569160998,0.0,0.0,0.0,0.0,0.006802721088435374,0.006802721088435374,0.7301587301587301,0.0,0.4796380090497738,0.3552036199095023,0.0022624434389140274,0.0,0.024886877828054297,0.0,0.0,0.0,0.0
150620305000028,0.0,0.0,0.0,0.26136363636363635,0.0,0.04924242424242424,0.0,0.0,0.0,0.0,0.007575757575757576,0.0,0.8143939393939394,0.0,0.5338345864661654,0.3308270676691729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150620305000029,0.0,0.0,0.0,0.10666666666666667,0.0044444444444444444,0.0,0.0,0.0,0.0,0.0,0.35555555555555557,0.0,0.5777777777777777,0.004366812227074236,0.5851528384279476,0.314410480349345,0.017467248908296942,0.0,0.017467248908296942,0.0,0.004366812227074236,0.0,0.0
150620305000030,0.0,0.0,0.0,0.08,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.0,0.25333333333333335,0.0,0.7417218543046358,0.2052980132450331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150620305000031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09392265193370165,0.7237569060773481,0.0055248618784530384,0.04419889502762431,0.0,0.5580110497237569,0.12154696132596685,0.0,0.0,0.30386740331491713,0.0,0.0,0.0,0.0
150620305000032,0.0,0.0,0.0,0.037037037037037035,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.9444444444444444,0.0,0.05555555555555555,0.018518518518518517,0.4074074074074074,0.37037037037037035,0.018518518518518517,0.0,0.12962962962962962,0.0,0.0,0.0,0.0
150620305000033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23106060606060605,0.32196969696969696,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0
150620305000034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34513274336283184,0.6283185840707964,0.0,0.008849557522123894,0.008849557522123894,0.0,0.0,0.0,0.0
150620305000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008064516129032258,0.0,0.5241935483870968,0.0,0.0,0.46774193548387094,0.0,0.0,0.0,0.0
150620305000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006896551724137931,0.15862068965517243,0.7724137931034483,0.0,0.0,0.006896551724137931,0.0,0.0,0.0,0.0
150620305000037,0.2553191489361702,0.0,0.2765957446808511,0.44680851063829785,0.0,0.2978723404255319,0.0851063829787234,0.0,0.0,0.6808510638297872,0.2765957446808511,0.0425531914893617,0.0,0.0,0.7,0.12,0.04,0.08,0.0,0.0,0.0,0.0,0.0
150620305000038,0.0,0.0,0.0,0.6720321931589537,0.04024144869215292,0.1790744466800805,0.0,0.0,0.0,0.08249496981891348,0.778672032193159,0.002012072434607646,0.12474849094567404,0.012072434607645875,0.2193158953722334,0.6317907444668008,0.0,0.01006036217303823,0.09054325955734406,0.0,0.002012072434607646,0.0,0.0
150620305000039,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.88,0.0,0.7142857142857143,0.031746031746031744,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.0
150620305000040,0.0,0.0,0.0,0.7083333333333334,0.0625,0.041666666666666664,0.0,0.0,0.0,0.0,0.020833333333333332,0.08333333333333333,0.875,0.0,0.04,0.66,0.26,0.0,0.0,0.0,0.0,0.0,0.0
150620305000041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41766109785202865,0.5513126491646778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150630205000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17105263157894737,0.6710526315789473,0.02631578947368421,0.11842105263157894,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0
150630205000002,0.05371900826446281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8884297520661157,0.0,0.09917355371900827,0.004098360655737705,0.0,0.8770491803278688,0.02459016393442623,0.0,0.028688524590163935,0.012295081967213115,0.012295081967213115,0.0,0.0
150630205000003,0.02459016393442623,0.00819672131147541,0.0,0.02459016393442623,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.9057377049180327,0.0,0.08196721311475409,0.004081632653061225,0.0,0.9551020408163265,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0
150630205000004,0.0,0.0,0.0,0.06766917293233082,0.007518796992481203,0.0,0.13533834586466165,0.015037593984962405,0.0,0.0,0.7894736842105263,0.0,0.17293233082706766,0.0,0.0,0.9097744360902256,0.0,0.0,0.045112781954887216,0.015037593984962405,0.0,0.0,0.0
150630205000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6323529411764706,0.0,0.29411764705882354,0.004878048780487805,0.00975609756097561,0.7024390243902439,0.0,0.0,0.2,0.0,0.0,0.0,0.0
150630205000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15517241379310345,0.6091954022988506,0.028735632183908046,0.20114942528735633,0.0,0.027624309392265192,0.7790055248618785,0.06077348066298342,0.0,0.03314917127071823,0.0,0.0,0.0,0.0
150630205000007,0.0,0.0,0.0,0.14754098360655737,0.0,0.06557377049180328,0.21311475409836064,0.0,0.01639344262295082,0.0,0.8688524590163934,0.0,0.09836065573770492,0.0,0.14516129032258066,0.6935483870967742,0.016129032258064516,0.0,0.06451612903225806,0.0,0.0,0.0,0.0
150630205000008,0.00816326530612245,0.004081632653061225,0.0,0.036734693877551024,0.0,0.004081632653061225,0.39591836734693875,0.0163265306122449,0.024489795918367346,0.0,0.673469387755102,0.0,0.23673469387755103,0.0,0.008097165991902834,0.9190283400809717,0.012145748987854251,0.0,0.004048582995951417,0.0,0.0,0.0,0.0
150630205000009,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.017543859649122806,0.0,0.0,0.519298245614035,0.021052631578947368,0.34385964912280703,0.0,0.006993006993006993,0.5874125874125874,0.34265734265734266,0.0,0.0,0.0034965034965034965,0.0,0.0,0.0
150630205000010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5357142857142857,0.0,0.0,0.45,0.0,0.0,0.0,0.0
